p,rho,replication,method,wall_clock_s
200,0.9,7,Horseshoe,183.79190620000008
200,0.9,7,Regularized Horseshoe,129.42449299999862
200,0.9,8,AEH,103.0386426000041
200,0.9,8,Horseshoe,188.69300349999685
200,0.9,8,Regularized Horseshoe,91.67991420000908
200,0.9,9,AEH,94.16120560001582
200,0.9,9,Horseshoe,90.77389839998796
200,0.9,9,Regularized Horseshoe,91.06782279998879
200,0.9,10,AEH,89.57871239999076
200,0.9,10,Horseshoe,90.30818360002013
200,0.9,10,Regularized Horseshoe,82.01775709999492
200,0.9,11,AEH,85.9088514999894
200,0.9,11,Horseshoe,91.00015340000391
200,0.9,11,Regularized Horseshoe,84.37744830001611
200,0.9,12,AEH,98.11417240000446
200,0.9,12,Horseshoe,89.57865159999346
200,0.9,12,Regularized Horseshoe,92.98513740001363
200,0.9,13,AEH,90.02584280000883
200,0.9,13,Horseshoe,87.34953480001423
200,0.9,13,Regularized Horseshoe,85.35870869999053
200,0.9,14,AEH,87.42675290000625
200,0.9,14,Horseshoe,87.12673690001247
200,0.9,14,Regularized Horseshoe,90.08054389999597
200,0.9,15,AEH,88.03345519999857
200,0.9,15,Horseshoe,88.97939370002132
200,0.9,15,Regularized Horseshoe,90.94171579999966
200,0.9,16,AEH,88.88057169999229
200,0.9,16,Horseshoe,95.04131460000644
200,0.9,16,Regularized Horseshoe,84.92834010001388
200,0.9,17,AEH,97.16410609998275
200,0.9,17,Horseshoe,90.35601459999452
200,0.9,17,Regularized Horseshoe,87.6151507999748
200,0.9,18,AEH,86.76436739999917
200,0.9,18,Horseshoe,89.83157099998789
200,0.9,18,Regularized Horseshoe,84.02972780002165
200,0.9,19,AEH,98.97756930001196
200,0.9,19,Horseshoe,89.19948559999466
200,0.9,19,Regularized Horseshoe,176.59584609998274
200,0.9,20,AEH,181.97807489999104
200,0.9,20,Horseshoe,183.62039760002517
200,0.9,20,Regularized Horseshoe,127.36337380000623
200,0.9,21,AEH,100.86106429999927
200,0.9,21,Horseshoe,100.10300200001802
200,0.9,21,Regularized Horseshoe,95.82979590000468
200,0.9,22,AEH,104.14510449999943
200,0.9,22,Horseshoe,96.66257220000261
200,0.9,22,Regularized Horseshoe,95.96931260000565
200,0.9,23,AEH,95.83894249997684
200,0.9,23,Horseshoe,100.69825980000314
200,0.9,23,Regularized Horseshoe,107.30550240000593
200,0.9,24,AEH,105.07285130000673
200,0.9,24,Horseshoe,98.96571489999769
200,0.9,24,Regularized Horseshoe,98.02218169998378
200,0.9,25,AEH,96.79722570002195
200,0.9,25,Horseshoe,97.40231149998726
200,0.9,25,Regularized Horseshoe,94.97547889998532
200,0.9,26,AEH,101.45285639999202
200,0.9,26,Horseshoe,97.1439781000081
200,0.9,26,Regularized Horseshoe,113.62144970000372
200,0.9,27,AEH,107.20128480001586
200,0.9,27,Horseshoe,102.96523279999383
200,0.9,27,Regularized Horseshoe,97.29049130002386
200,0.9,28,AEH,100.15456840000115
200,0.9,28,Horseshoe,96.88038039999083
200,0.9,28,Regularized Horseshoe,115.53490420000162
200,0.9,29,AEH,99.78943289999734
200,0.9,29,Horseshoe,91.46377839997876
200,0.9,29,Regularized Horseshoe,84.25982790000853
500,0.5,0,AEH,334.50310169998556
500,0.5,0,Horseshoe,332.53340250000474
500,0.5,0,Regularized Horseshoe,397.42627919997904
500,0.5,1,AEH,552.2063370999822
500,0.5,1,Horseshoe,397.9156542000128
500,0.5,1,Regularized Horseshoe,688.6613472999888
500,0.5,2,AEH,401.6130701999937
500,0.5,2,Horseshoe,367.7511991999927
500,0.5,2,Regularized Horseshoe,382.22689119999995
500,0.5,3,AEH,373.47326359999715
500,0.5,3,Horseshoe,418.5004068999842
500,0.5,3,Regularized Horseshoe,320.5633103
500,0.5,4,AEH,660.1816545000183
500,0.5,4,Horseshoe,371.43384020001395
500,0.5,4,Regularized Horseshoe,425.8633247000107
500,0.5,5,AEH,666.5800645999843
500,0.5,5,Horseshoe,513.3755291999842
500,0.5,5,Regularized Horseshoe,368.4138457000081
500,0.5,6,AEH,391.12345579999965
500,0.5,6,Horseshoe,368.6779245999933
500,0.5,6,Regularized Horseshoe,392.52115799998865
500,0.5,7,AEH,370.75651300000027
