rho,group_size,replication,AEH_MSE,HS_MSE,MSE_ratio,AEH_alpha_star
0.4,2,7,0.005108548370237062,0.005808069252148019,0.8795605128757287,0.5403116953812691
0.4,2,8,0.0012924860525035452,0.001356746926838744,0.9526360642032716,0.5472042519214031
0.4,2,9,0.00571521747955525,0.0057615497944143975,0.9919583590331781,0.5374202426666074
0.4,2,10,0.006750848114617927,0.0067429749670954876,1.001167607407837,0.5355860886351793
0.4,2,11,0.003185577948718437,0.0033943401636527563,0.938496967048328,0.5350798627542596
0.4,2,12,0.0008899513884369067,0.0008739799522039614,1.018274373677187,0.5358166352214399
0.4,2,13,0.003876995269793705,0.003675976288924853,1.0546845150972521,0.5419417633155093
0.4,2,14,0.001048084888428345,0.0013996544104910946,0.7488169083542594,0.5404560208599883
0.4,2,15,0.0036849254067240845,0.0033314465385709813,1.1061037192284429,0.5376198322709457
0.4,2,16,0.003785373124216943,0.004693650023977008,0.8064881499216539,0.5318770707385638
0.4,2,17,0.0063372575173214155,0.0065089841270247846,0.9736169874819062,0.5402069782902612
0.4,2,18,0.008743246895169435,0.008794589254886057,0.9941620514354212,0.5445586526998341
0.4,2,19,0.00930314551859725,0.009388395944610897,0.9909195962210582,0.5343410671138104
0.4,2,20,0.002474172948140756,0.0025543015628797217,0.9686299316010955,0.5338596656358412
0.4,2,21,0.0033346501890922455,0.003447088522411144,0.9673816519106243,0.5426984084821628
0.4,2,22,0.005188264629955211,0.005299478629435978,0.9790141620983188,0.5409525322751156
0.4,2,23,0.00476621398473929,0.004419325914522745,1.078493434728723,0.5397179657597749
0.4,2,24,0.0019559626032994966,0.0021170009143342394,0.9239309204146534,0.5456905266440053
0.4,2,25,0.000998382619831604,0.0011719733673383821,0.8518816618665895,0.5342478326683819
0.4,2,26,0.004340526719087558,0.004593297014235718,0.9449697473590831,0.5337461246770197
0.4,2,27,0.0022241434644833654,0.0025377473618245403,0.87642430367233,0.538330964365915
0.4,2,28,0.005415386895944039,0.005292359491592195,1.023246229691557,0.5350078391591622
0.4,2,29,0.004938689748149041,0.004673830469457935,1.0566685677672483,0.5368600387124477
0.4,3,0,0.0019587325619212738,0.0018588256171867088,1.053747346610045,0.5297331304423218
0.4,3,1,0.001864186846890037,0.0017759468506582028,1.0496861694927022,0.5261690929417344
0.4,3,2,0.007490183168064356,0.007397716386462472,1.0124993682876373,0.525711113393743
0.4,3,3,0.005706953703747804,0.005651216644687032,1.0098628423868996,0.5175225546127309
0.4,3,4,0.002974143942783799,0.0025815023394605793,1.152098100908661,0.5143077048203003
0.4,3,5,0.000627658364245292,0.0005740375250329261,1.0934099895460498,0.5203780029451703
0.4,3,6,0.003265760320851868,0.003382415340683212,0.9655113260550134,0.5200511306039112
0.4,3,7,0.003674805431970933,0.004161387383627835,0.8830721807896896,0.5192172117745618
0.4,3,8,0.004460100178234627,0.004668968621765862,0.9552645433174409,0.5331824223944752
0.4,3,9,0.005594927687763052,0.0053423245890185786,1.0472833678552051,0.5266438402448064
0.4,3,10,0.0055397882273498416,0.0056183970992205404,0.9860086657310847,0.5204566962619033
0.4,3,11,0.0035585327177925256,0.0035327824459584047,1.0072889492144017,0.5240070700097392
0.4,3,12,0.000881842008811348,0.0010704815899782042,0.8237806395430892,0.5170511693075895
0.4,3,13,0.00382096547473032,0.004609949848331673,0.8288518531526143,0.5255407095907054
0.4,3,14,0.001780571264927534,0.0019812836302458446,0.8986957938508756,0.5250851549565354
0.4,3,15,0.004223622655121174,0.004335871009238488,0.9741116943105214,0.5280117428769586
0.4,3,16,0.004211128125006525,0.004097572516479258,1.0277128978366044,0.5240365547317709
0.4,3,17,0.004422329464324514,0.004436819128178953,0.9967342225509231,0.5228198789478121
0.4,3,18,0.008560213901747637,0.010267677826540773,0.8337049570858626,0.5258318563254893
0.4,3,19,0.00938801865590919,0.010728750903929768,0.875033705225695,0.5226256225805735
0.4,3,20,0.0019656402406686767,0.001967013527012457,0.9993018419421515,0.5180740264005239
0.4,3,21,0.006867147085354937,0.00667716575054293,1.0284523916148942,0.5233610428837409
0.4,3,22,0.0041137964941953455,0.004168975643188901,0.9867643388409562,0.5210631862484232
0.4,3,23,0.004651206477729398,0.004466767998204249,1.041291260168269,0.5212045205273151
0.4,3,24,0.0025051055970721397,0.00206029172271813,1.215898491193844,0.5262821903626362
0.4,3,25,0.0035944304882517602,0.0036733483507019548,0.9785160962381599,0.5131580221953025
0.4,3,26,0.003924798131052949,0.0037488701828886258,1.046928258270273,0.508487184610259
0.4,3,27,0.002940126932996778,0.002279955338121277,1.289554617073988,0.5234753261302254
0.4,3,28,0.0069357632662441285,0.007113549003539829,0.9750074488546812,0.5192318594352173
0.4,3,29,0.005024826666102513,0.00572150017487534,0.8782358669091527,0.5287948866551833
0.4,5,0,0.0012718208765315421,0.002171995791174012,0.5855540244136913,0.48757116706930037
0.4,5,1,0.00026013618214843577,0.0002603642536216582,0.9991240292396135,0.4905138241608734
0.4,5,2,0.005012946099700709,0.005575503682830108,0.8991019260086209,0.48992551240602844
0.4,5,3,0.004301041088875164,0.004433550468269259,0.9701121301443485,0.47666399479346566
0.4,5,4,0.0035972474214824245,0.0028170049705087395,1.2769758872071768,0.4724055947158887
0.4,5,5,0.002415049903441039,0.0024305740146922158,0.9936129855921533,0.4796312987453958
0.4,5,6,0.004686679689352356,0.004422483754230616,1.0597392663950447,0.49154265375025574
0.4,5,7,0.005614162951048884,0.005609194694531066,1.0008857343680122,0.46766616236093994
