method,n,replication,bulk_ESS_signal,bulk_ESS_null,bulk_ESS_all
AEH,2000,12,7418.607285582953,8000.0,7854.651821395739
Horseshoe,2000,12,8000.0,1759.949135074032,3319.961851305524
AEH,2000,13,6940.669975743191,6652.104436718356,6724.245821474567
Horseshoe,2000,13,8000.0,1197.847660549767,2898.3857454123254
AEH,2000,14,8000.0,8000.0,8000.0
Horseshoe,2000,14,8000.0,2037.9953090816957,3528.496481811272
AEH,2000,15,6354.218619067725,6494.137844761835,6459.158038338309
Horseshoe,2000,15,8000.0,1151.6138278520582,2863.7103708890436
AEH,2000,16,7882.798883106766,8000.0,7970.699720776693
Horseshoe,2000,16,8000.0,2148.734990470058,3611.5512428525426
AEH,2000,17,7373.765942701384,7355.291897529747,7359.910408822657
Horseshoe,2000,17,8000.0,1173.3458635639395,2880.0093976729545
AEH,2000,18,2963.989509674386,3305.5199033965423,3220.1373049660033
Horseshoe,2000,18,7144.421740436393,8000.0,7786.105435109098
AEH,2000,19,6542.16875335649,7962.034747471038,7607.068248942402
Horseshoe,2000,19,7723.57842100572,3136.7351311348393,4283.445953602561
